meter_number,account_id,transaction_id,amount,created_at,payment_date_time
PO12116114,0439992387,PP01BX045211774C9YF4430554R61320452,8.00,2026-05-12 04:52:56.714730+05:30,2026-05-12 10:22:55+05:30
PO14806647,3038338984,PP01BX0455233777JYC3834177R61310455,11.00,2026-05-12 05:05:31.182787+05:30,2026-05-12 10:35:29+05:30
PO12026288,6508441562,HGALP081860349385837,156.00,2026-05-12 05:09:02.964934+05:30,2026-05-12 10:39:01+05:30
PO12208041,9725773000,HGALP14EB00349387333,197.00,2026-05-12 05:10:42.853230+05:30,2026-05-12 10:40:41+05:30
PO12635329,2508514297,28557235263,436.00,2026-05-12 05:11:34.422739+05:30,2026-05-12 10:41:33+05:30
PO12576381,7110103000,PP01BX0501415404DNC5564147R61310501,7.00,2026-05-12 05:11:51.706033+05:30,2026-05-12 10:41:50+05:30
PO12157698,1801639000,PP01BX0502300201WZV4703277R61310502,3.00,2026-05-12 05:12:39.098302+05:30,2026-05-12 10:42:37+05:30
PO12139198,8677099000,BBPSPP016131BX3F20ENK928,2.00,2026-05-12 05:27:02.786307+05:30,2026-05-12 10:57:01+05:30
PO14803084,4139164000,BBPSPP016132BX45Y0FCA734,1045.00,2026-05-12 05:32:02.813613+05:30,2026-05-12 11:02:01+05:30
PO12367006,8666173000,BBPSPP016131BX3GZ0EZF896,215.00,2026-05-12 05:34:22.646397+05:30,2026-05-12 11:04:21+05:30
PO12363513,3423692000,28557269479,126.00,2026-05-12 05:35:20.418265+05:30,2026-05-12 11:05:19+05:30
PO12090962,6761272000,DHD5APX1JSK0GL,150.00,2026-05-12 05:36:22.374927+05:30,2026-05-12 11:06:21+05:30
PO12105710,3008704000,28557279950,219.00,2026-05-12 05:41:20.874939+05:30,2026-05-12 11:11:19+05:30
PO12190575,2935003516,DHD5RTL1JSK6F7,500.00,2026-05-12 05:43:42.574806+05:30,2026-05-12 11:13:41+05:30
PO12476362,5474482112,PP01BX054825860TAR45605096R61310548,350.00,2026-05-12 05:48:04.194664+05:30,2026-05-12 11:18:02+05:30
PO12551566,5157017747,PP01BX053901106F9HT0684473R61310539,50.00,2026-05-12 05:49:09.100354+05:30,2026-05-12 11:19:07+05:30
PO12476362,5474482112,BBPSPP016132BX1MO0G64469,3.00,2026-05-12 05:49:42.834694+05:30,2026-05-12 11:19:41+05:30
PO12283052,7107943000,28557299062,500.00,2026-05-12 05:52:31.484833+05:30,2026-05-12 11:22:30+05:30
PO12335971,9757592000,BBPSPP016132BX0QC0GB6681,7.00,2026-05-12 05:52:42.876501+05:30,2026-05-12 11:22:41+05:30
PO12273199,4580183000,28557303865,50.00,2026-05-12 05:55:05.790936+05:30,2026-05-12 11:25:04+05:30
PO12345813,9401862719,28557305510,1000.00,2026-05-12 05:55:47.688595+05:30,2026-05-12 11:25:46+05:30
PO12366344,7159334000,28557306373,301.00,2026-05-12 05:56:18.624592+05:30,2026-05-12 11:26:17+05:30
AL2270586,0970177563,PP01BX002113605OYTI5398698R61310021,328.00,2026-05-12 05:57:31.337935+05:30,2026-05-12 11:27:30+05:30
PO12195596,5451708000,DHD5WQ61JSKDQV,300.00,2026-05-12 06:00:06.205809+05:30,2026-05-12 11:30:05+05:30
PO12053289,3437936860,PP01BX0654365415OBX5398844R61310654,91.00,2026-05-12 06:03:28.636696+05:30,2026-05-12 11:33:27+05:30
PO12280577,0757844000,HGALP173EB0349470342,262.00,2026-05-12 06:04:03.155135+05:30,2026-05-12 11:34:01+05:30
PO12366344,7159334000,28557335486,15.00,2026-05-12 06:05:58.174384+05:30,2026-05-12 11:35:56+05:30
PO12280577,0757844000,HGALP0A1820349475576,2.00,2026-05-12 06:06:03.387755+05:30,2026-05-12 11:36:02+05:30
PO12413888,0572994000,DHD50JM1JSKOU2,147.00,2026-05-12 06:09:21.254858+05:30,2026-05-12 11:39:20+05:30
PO12409780,0535244000,BBPSPP016132BX3GZ0H2R639,16.00,2026-05-12 06:09:22.694810+05:30,2026-05-12 11:39:21+05:30
PO12409780,0535244000,PP01BX060927447TK7X3834675R61320609,1.00,2026-05-12 06:09:58.719348+05:30,2026-05-12 11:39:57+05:30
AL2275407,1352808260,DHD5HSA1JSKPMB,150.00,2026-05-12 06:10:10.591181+05:30,2026-05-12 11:40:09+05:30
PO12345313,3817973000,PP01BX121418578BVM88961940R61311214,8.00,2026-05-12 06:10:15.512780+05:30,2026-05-12 11:40:14+05:30
PO12595102,8303754000,APBWMVQXCIYYYNQ52O0A3YAI7BY61320609,224.00,2026-05-12 06:10:28.447715+05:30,2026-05-12 11:40:27+05:30
PO12190526,2946035000,28557349482,100.00,2026-05-12 06:10:42.147033+05:30,2026-05-12 11:40:40+05:30
PO12278200,0199454000,28557352869,1500.00,2026-05-12 06:12:03.367757+05:30,2026-05-12 11:42:02+05:30
PO12516826,0729292000,DHD5FXG1JSKSGB,49.00,2026-05-12 06:14:01.937196+05:30,2026-05-12 11:44:00+05:30
AL2275408,0166454709,DHD517Z1JSKSQZ,150.00,2026-05-12 06:14:06.885581+05:30,2026-05-12 11:44:05+05:30
PO12417408,5669176910,28557362672,138.00,2026-05-12 06:15:01.284643+05:30,2026-05-12 11:45:00+05:30
PO12413888,0572994000,DHD59RC1JSKTOP,3.00,2026-05-12 06:15:22.621343+05:30,2026-05-12 11:45:21+05:30
PO12347133,4148353000,DHMP0SM1JSKW4T,2000.00,2026-05-12 06:18:26.732835+05:30,2026-05-12 11:48:25+05:30
PO12508424,6608103000,DCHYFHA1JSKWA9,5994.00,2026-05-12 06:18:36.969833+05:30,2026-05-12 11:48:35+05:30
PO12245748,8714399000,PP01BX060941378832T0684641R61310609,222.00,2026-05-12 06:19:51.360290+05:30,2026-05-12 11:49:50+05:30
PO12035503,1568453000,DHD5HN11JSKQRF,96.00,2026-05-12 06:20:06.418470+05:30,2026-05-12 11:50:05+05:30
PO12350208,4120058000,BBPSPP016131BX6UH0H75313,674.00,2026-05-12 06:22:03.196383+05:30,2026-05-12 11:52:01+05:30
PO12045018,3562553000,HGALP0C6C70349523976,89.00,2026-05-12 06:22:03.324654+05:30,2026-05-12 11:52:02+05:30
PO12098611,8687173000,DHD5HXP1JSL2Z3,500.00,2026-05-12 06:26:33.626222+05:30,2026-05-12 11:56:32+05:30
PO12071735,4303893000,HGALP0A0970349542789,290.00,2026-05-12 06:27:23.395320+05:30,2026-05-12 11:57:22+05:30
PO12557872,0324876982,2QMM4YRLKC0H3HX6EW04JV26BFS61281214,118.00,2026-05-12 06:27:46.833352+05:30,2026-05-12 11:57:45+05:30
PO12288235,5903544000,28557415758,200.00,2026-05-12 06:30:03.529739+05:30,2026-05-12 12:00:02+05:30
PO14800120,7970463000,HGALP17FE80349553853,620.00,2026-05-12 06:30:22.941822+05:30,2026-05-12 12:00:21+05:30
PO12154340,3833302047,HGALP00CB60349554590,189.00,2026-05-12 06:30:42.867655+05:30,2026-05-12 12:00:41+05:30
PO12335468,5921994740,BBPSPP016132BX6WX0I2F569,277.00,2026-05-12 06:30:43.469261+05:30,2026-05-12 12:00:42+05:30
PO12417708,1668954000,HGALP035AE0349558945,15.00,2026-05-12 06:31:43.245290+05:30,2026-05-12 12:01:41+05:30
PO12235405,3581422578,28557425051,14.00,2026-05-12 06:32:17.436074+05:30,2026-05-12 12:02:16+05:30
PO12652958,4528794000,HGALP177AA0349561088,113.00,2026-05-12 06:32:22.966274+05:30,2026-05-12 12:02:21+05:30
PO12443372,5893223000,2053704324379795456jtFBvLLB61310510,99.00,2026-05-12 06:34:05.145623+05:30,2026-05-12 12:04:03+05:30
AL2272995,8364328302,BBPSPP016132BX77L0I91260,26.00,2026-05-12 06:34:43.184619+05:30,2026-05-12 12:04:41+05:30
PO12354393,8429654000,HGALP010C90349575581,1002.00,2026-05-12 06:36:02.954694+05:30,2026-05-12 12:06:01+05:30
PO12357008,6712813000,28557444340,133.00,2026-05-12 06:37:13.172059+05:30,2026-05-12 12:07:11+05:30
PO12430064,4499023000,PP01BX062715405Z9ZF4703074R61310627,120.00,2026-05-12 06:37:23.687730+05:30,2026-05-12 12:07:22+05:30
PO12436204,6154084000,HGALP03C7B0349586916,1624.00,2026-05-12 06:38:42.860718+05:30,2026-05-12 12:08:41+05:30
PO12619058,2081443000,HGALP014340349591703,92.00,2026-05-12 06:39:42.834488+05:30,2026-05-12 12:09:41+05:30
PO12120414,1890358000,HGALP02D740349591162,214.00,2026-05-12 06:39:43.158093+05:30,2026-05-12 12:09:42+05:30
PO12056429,2817866058,28557459121,100.00,2026-05-12 06:40:38.669505+05:30,2026-05-12 12:10:37+05:30
PO12405769,7377043000,28557459630,100.00,2026-05-12 06:40:39.904746+05:30,2026-05-12 12:10:38+05:30
PO12341870,1764014000,HGALP0DED30349607750,358.00,2026-05-12 06:43:23.209214+05:30,2026-05-12 12:13:22+05:30
PO12093788,7478378321,28557468336,194.00,2026-05-12 06:43:54.495647+05:30,2026-05-12 12:13:53+05:30
PO12460663,3469714000,28557474036,100.00,2026-05-12 06:44:22.120869+05:30,2026-05-12 12:14:20+05:30
PO12565318,2840444000,2054007324925173760KHFIO20261320114,142.00,2026-05-12 06:45:25.413010+05:30,2026-05-12 12:15:24+05:30
PO12519928,4470433000,HGALP16A560349630360,32.00,2026-05-12 06:48:23.253867+05:30,2026-05-12 12:18:21+05:30
PO14803084,4139164000,BBPSPP016132BX3GZ0IY2187,5.00,2026-05-12 06:49:43.954693+05:30,2026-05-12 12:19:42+05:30
PO12122181,2252929000,PP01BX063938887I9751089979R61310639,111.00,2026-05-12 06:49:48.061859+05:30,2026-05-12 12:19:46+05:30
PO12338366,7936672026,DHD51EO1JSLPRB,273.00,2026-05-12 06:49:55.950568+05:30,2026-05-12 12:19:54+05:30
PO12335963,1739974000,DHD5CUF1JSLGEE,200.00,2026-05-12 06:50:06.768458+05:30,2026-05-12 12:20:05+05:30
PO12461893,0796223000,DHD56M01JSLRX2,166.00,2026-05-12 06:51:36.298451+05:30,2026-05-12 12:21:35+05:30
PO12354213,3502174000,PP01BX064152790L5UL8873121R61310641,146.00,2026-05-12 06:52:00.281340+05:30,2026-05-12 12:21:59+05:30
PO12515114,3103587904,2053868446579048448WPOoB20261311602,277.00,2026-05-12 06:54:49.477853+05:30,2026-05-12 12:24:48+05:30
PO12360082,9293497085,HGALP06DDB0349676590,259.00,2026-05-12 06:57:43.355317+05:30,2026-05-12 12:27:42+05:30
PO12093751,4470558000,PP01BX064830125SGCE4430064R61310648,60.00,2026-05-12 06:58:41.004768+05:30,2026-05-12 12:28:39+05:30
PO12583150,3738168000,BBPSBD016132BALAAAJV9FVV,14.00,2026-05-12 06:58:42.912680+05:30,2026-05-12 12:28:41+05:30
PO12288235,5903544000,28557546458,200.00,2026-05-12 06:59:29.441004+05:30,2026-05-12 12:29:28+05:30
PO12210910,7201066526,DHD5JGN1JSLYFV,30.00,2026-05-12 07:00:06.785105+05:30,2026-05-12 12:30:05+05:30
PO12276389,5548846102,DHD5R9N1JSLVE7,23.00,2026-05-12 07:00:06.791891+05:30,2026-05-12 12:30:05+05:30
PO12417875,1060424000,HGALP0671D0349691140,100.00,2026-05-12 07:00:23.536664+05:30,2026-05-12 12:30:22+05:30
PO12616477,0388534000,BBPSPU016132AMDCKRPZ4164,115.00,2026-05-12 07:01:23.014261+05:30,2026-05-12 12:31:21+05:30
PO12525585,5494653127,DHD57BW1JSM6W1,58.00,2026-05-12 07:03:24.086176+05:30,2026-05-12 12:33:22+05:30
PO12093751,4470558000,PP01BX070025563ZKND1089366R61320700,3.00,2026-05-12 07:03:34.414598+05:30,2026-05-12 12:33:33+05:30
AL2278332,9738356136,HGVRPWY2RUWHX5FQCTPBQ2JSXJR61320703,34.00,2026-05-12 07:03:43.431510+05:30,2026-05-12 12:33:42+05:30
PO12426203,9368933000,PP01BX103752995K0JI5564701R61311037,8.00,2026-05-12 07:03:48.680501+05:30,2026-05-12 12:33:47+05:30
PO12085430,2498599000,PP01BX0156410694KZI0948645R61310156,249.00,2026-05-12 07:03:50.002948+05:30,2026-05-12 12:33:48+05:30
PO12556809,4808110100,HGALP112D80349713529,121.00,2026-05-12 07:04:03.449576+05:30,2026-05-12 12:34:02+05:30
PO12419399,8407864000,PP01BX065354664XU665398957R61310653,87.00,2026-05-12 07:04:06.740107+05:30,2026-05-12 12:34:05+05:30
PO12281233,3706294000,HGALP025850349713941,395.00,2026-05-12 07:04:23.426068+05:30,2026-05-12 12:34:22+05:30
PO12390412,0892066000,HGVRUTZZ54PRGFVQW26TY6J0E1E61320704,86.00,2026-05-12 07:04:23.675973+05:30,2026-05-12 12:34:22+05:30
PO12423258,4303013000,BBPSBD016132BALAAAJV9LOC,355.00,2026-05-12 07:04:43.051249+05:30,2026-05-12 12:34:41+05:30
PO12141711,6798504000,BBPSBD016132BALAAAJV9LV1,286.00,2026-05-12 07:04:44.144791+05:30,2026-05-12 12:34:42+05:30
PO12461422,1074763000,HGVRWYHECUE6T9RDS0Y6JMVP42M61320704,310.00,2026-05-12 07:04:44.711377+05:30,2026-05-12 12:34:43+05:30
PO12502980,5448900100,HGVR5FUV11514NSBNQQI653IPU561320704,753.00,2026-05-12 07:04:47.764847+05:30,2026-05-12 12:34:46+05:30
PO12426203,9368933000,BBPSPP016132BX2WT0JNI627,100.00,2026-05-12 07:05:03.680460+05:30,2026-05-12 12:35:02+05:30
PO12391976,5043436930,BBPSBD016132BALAAAJV9MA3,106.00,2026-05-12 07:05:04.671637+05:30,2026-05-12 12:35:03+05:30
PO12426203,9368933000,PP01BX070459176ND723773592R61320704,1.00,2026-05-12 07:05:12.245762+05:30,2026-05-12 12:35:11+05:30
PO12529335,6517044000,PP01BX0705030201JJG9345480R61320705,214.00,2026-05-12 07:05:19.532622+05:30,2026-05-12 12:35:18+05:30
PO12131134,9034397704,BBPSBD016132BALAAAJV9MHR,79.00,2026-05-12 07:05:22.982117+05:30,2026-05-12 12:35:21+05:30
PO12059550,4206113000,BBPSBD016132BALAAAJV9MLY,191.00,2026-05-12 07:05:23.236449+05:30,2026-05-12 12:35:22+05:30
PO12525585,5494653127,DHD56JC1JSM9JW,1.00,2026-05-12 07:05:28.671783+05:30,2026-05-12 12:35:27+05:30
AL2271504,3229112675,BBPSBD016132BALAAAJV9MTI,31.00,2026-05-12 07:05:43.847984+05:30,2026-05-12 12:35:42+05:30
PO12042955,9164758376,HGVRVMMHEAE1WPF7K4PI09UCRPM61320705,38.00,2026-05-12 07:05:52.010016+05:30,2026-05-12 12:35:50+05:30
PO12460682,3930784000,BBPSPP016131BX3GZ0J94764,415.00,2026-05-12 07:06:23.394048+05:30,2026-05-12 12:36:22+05:30
PO12339258,5101849706,HGALP02B920349727419,187.00,2026-05-12 07:06:23.876571+05:30,2026-05-12 12:36:22+05:30
PO12139758,5803969000,28557598106,298.00,2026-05-12 07:07:26.405167+05:30,2026-05-12 12:37:25+05:30
PO12434256,2901389676,HGVRAJP4DZZGGKEQ2YK9JRUJ4HC61320709,31.00,2026-05-12 07:09:34.185709+05:30,2026-05-12 12:39:33+05:30
PO12405350,5617643000,BBPSPP016132BX3F20JW4817,311.00,2026-05-12 07:10:03.399965+05:30,2026-05-12 12:40:02+05:30
PO12276376,7483313000,DHD56XR1JSMH0B,225.00,2026-05-12 07:11:18.578586+05:30,2026-05-12 12:41:17+05:30
PO12115441,0778603000,HGALP176560349761274,9.00,2026-05-12 07:12:03.492462+05:30,2026-05-12 12:42:02+05:30
PO12044625,3300364000,DHD5ET71JSMIQA,100.00,2026-05-12 07:12:34.387928+05:30,2026-05-12 12:42:33+05:30
PO12142059,1026749000,28557635557,1.00,2026-05-12 07:13:27.633556+05:30,2026-05-12 12:43:25+05:30
PO12145504,5693224000,HGALP130D40349782805,109.00,2026-05-12 07:15:23.582382+05:30,2026-05-12 12:45:22+05:30
PO14811328,5559524000,CRUQQLJ4R5K36H5U98WCW2QBZTP61262159,633.00,2026-05-12 07:16:03.926162+05:30,2026-05-12 12:46:02+05:30
PO12117656,7287073000,BBPSPP016132BX6WX0K75544,301.00,2026-05-12 07:16:43.247027+05:30,2026-05-12 12:46:42+05:30
PO12451699,1274664000,BBPce01689896d847T20260512071717479,34.00,2026-05-12 07:17:40.094716+05:30,2026-05-12 12:47:38+05:30
PO12060865,9681973000,HGVRJRNUWTZNX6M9ZY3MIKX4DCP61320718,177.00,2026-05-12 07:18:58.386235+05:30,2026-05-12 12:48:56+05:30
PO12097110,3252999000,BBPSBD016132BALAAAJV93LX,525.00,2026-05-12 07:20:04.058644+05:30,2026-05-12 12:50:02+05:30
PO12322877,0277554000,DHD5KHU1JSMMYZ,788.00,2026-05-12 07:20:06.942328+05:30,2026-05-12 12:50:05+05:30
PO12455168,3244023000,HGALP080DF0349815425,327.00,2026-05-12 07:20:23.787607+05:30,2026-05-12 12:50:22+05:30
PO12009292,4877784588,HGALP11BB50349819952,958.00,2026-05-12 07:21:03.358282+05:30,2026-05-12 12:51:02+05:30
PO12133144,4397592000,PP01BX024859132AIUS4499070R61320248,161.00,2026-05-12 07:22:10.717703+05:30,2026-05-12 12:52:09+05:30
PO12407344,4555294013,HGALP098420349834296,18.00,2026-05-12 07:23:03.594603+05:30,2026-05-12 12:53:02+05:30
PO12236745,5246454000,MA0DYRKTNEVIHX0BM4S8WZMUO6Q61281420,28.00,2026-05-12 07:26:31.880091+05:30,2026-05-12 12:56:30+05:30
PO14802425,8342141393,28557721674,39.00,2026-05-12 07:27:02.399326+05:30,2026-05-12 12:57:01+05:30
PO12365817,0319324000,DSBIOGI1JSN46Z,1000.00,2026-05-12 07:27:08.519922+05:30,2026-05-12 12:57:07+05:30
PO12170133,9804353000,DEP775L1JSN6FV,500.00,2026-05-12 07:27:27.979851+05:30,2026-05-12 12:57:26+05:30
PO12232114,6664227594,HGVRX2QPDT0RXH26YGN2CX5R9TC61320729,130.00,2026-05-12 07:29:24.097486+05:30,2026-05-12 12:59:22+05:30
PO12331910,9758093000,DHD58JF1JSN9VY,306.00,2026-05-12 07:29:41.620121+05:30,2026-05-12 12:59:40+05:30
PO12033547,8795145654,BBPSPP016132BX45Y0KT9053,30.00,2026-05-12 07:30:03.716015+05:30,2026-05-12 13:00:02+05:30
PO14811163,9741124000,HGVR1TZB5QHXENSN0D5U2CGP7WA61320729,20.00,2026-05-12 07:30:08.834791+05:30,2026-05-12 13:00:07+05:30
PO12013836,6926600709,HGVRIMWD9DA355PYXDNP0B36VRD61320730,11.00,2026-05-12 07:30:17.266594+05:30,2026-05-12 13:00:15+05:30
PO12441034,5953763000,DHD5K071JSNDDV,49.00,2026-05-12 07:31:26.169596+05:30,2026-05-12 13:01:24+05:30
PO12365451,4118676336,NFETEU01700025957919412a82a61272306,132.00,2026-05-12 07:31:58.576301+05:30,2026-05-12 13:01:57+05:30
PO12486707,7568213000,BBPSPP016132BX5ZD0KWR334,136.00,2026-05-12 07:32:04.170607+05:30,2026-05-12 13:02:02+05:30
PO12317066,5027414000,BBPSPP016132BX6WX0KY4042,103.00,2026-05-12 07:33:02.767492+05:30,2026-05-12 13:03:01+05:30
PO12315657,9702963000,DHD5PFN1JSNPIB,20.00,2026-05-12 07:35:06.786067+05:30,2026-05-12 13:05:05+05:30
PO12401522,4117749155,DHD5W911JSNR5B,4435.00,2026-05-12 07:35:28.211176+05:30,2026-05-12 13:05:26+05:30
